JUAN VELASCO ALVARADO;PRIMARIA;1
JULI;PRIMARIA;1
LA CAPILLA;PRIMARIA;1
LA INMACULADA;PRIMARIA;1
LA VIAL;PRIMARIA;1
LAS PALMAS;PRIMARIA;1
LIBERTADOR SIMON BOLIVAR;PRIMARIA;1
MANUEL VILLAVICENCIO GARGATE;PRIMARIA;1
MARIA PARADO DE BELLIDO;PRIMARIA;1
MIGUEL GRAU SEMINARIO;PRIMARIA;1
MONTERO;PRIMARIA;1
NUESTRA SE���ORA DE LAS MERCED;PRIMARIA;1
911;INICIAL;1
913;INICIAL;1
93;INICIAL;1
934;INICIAL;1
941 NUESTRA SE���ORA DE COPACABA;INICIAL;1
944;INICIAL;1
950 SAN ANTONIO DE PADUA;INICIAL;1
957;INICIAL;1
957 DIVINO NI���O ROSAR;INICIAL;1
97;INICIAL;1
972 JORGE FELIPE SEVILLA ACU��;INICIAL;1
977;INICIAL;1
98;INICIAL;1
SAGRADO CORAZON DE MARIA;INICIAL;1
SALAVERRY;INICIAL;1
SAN AGUSTIN;INICIAL;1
SAN ANTONIO;INICIAL;1
SAN BARTOLOME;INICIAL;1
68;INICIAL;1
JOSE GABRIEL CONDORCANQUI;SECUNDARIA;1
JOSE GABRIEL CONDORCANQUI NOGUERA;SECUNDARIA;1
MANUEL SEOANE CORRALES;SECUNDARIA;1
MARIA INMACULADA - FE Y ALEGRIA 78;SECUNDARIA;1
MARIANO MELGAR;SECUNDARIA;1
MARISCAL AGUSTIN GAMARRA;SECUNDARIA;1
MARISCAL CACERES;SECUNDARIA;1
MARISCAL GUILLERMO MILLER;SECUNDARIA;1
MARISCAL RAMON CASTILLA;SECUNDARIA;1
MIGUEL GRAU;SECUNDARIA;1
NARCISO ARESTEGUI;SECUNDARIA;1
NARCISO GIRBAL;SECUNDARIA;1
NERY GARCIA ZARATE;SECUNDARIA;1
"NUESTRA SENORA DE GUADALUPE FE Y ALEGRIA ";SECUNDARIA;1
NUESTRA SE���ORA DE ASUNCI;SECUNDARIA;1
JOSE OLAYA;SECUNDARIA;1
JOSE VARALLANOS;SECUNDARIA;1
JUAN ACEVEDO ARCE;SECUNDARIA;1
JUAN ANTONIO LIGARDA PINEDA;SECUNDARIA;1
JUAN DE DIOS VALENCIA;SECUNDARIA;1
LAGUNAS;SECUNDARIA;1
LEONCIO PRADO;SECUNDARIA;1
LEONCIO PRADO GUTIERREZ;SECUNDARIA;1
LIMATAMBO;SECUNDARIA;1
LUIS TARAZONA NEGREIROS;SECUNDARIA;1
SAN JUAN;INICIAL;1
SAN JUAN BAUTISTA;INICIAL;1
SAN JUAN DE DIOS;INICIAL;1
SAN MARCOS;INICIAL;1
SAN PEDRO;INICIAL;1
SANTA APOLONIA;INICIAL;1
SANTA ISABEL DE SIGUAS;INICIAL;1
SANTA LEONOR;INICIAL;1
SANTA RITA;INICIAL;1
SANTA TERESITA;INICIAL;1
SANTIAGO APOSTOL;INICIAL;1
SEMILLAS DE JESUS;INICIAL;1
SE���OR DE LA VA;INICIAL;1
SHISHE;INICIAL;1
SIBAYO;INICIAL;1
SOCABAYA;INICIAL;1
TIWINZA;INICIAL;1
TORO;INICIAL;1
TUPAC AMARU;INICIAL;1
TUTI;INICIAL;1
UNION MIRAFLORES;INICIAL;1
VELAPATA;INICIAL;1
VIA JESUS SALVADOR;INICIAL;1
VICTORIA BARCIA BONIFATTI;INICIAL;1
VIDA FELIZ;INICIAL;1
VILLA PRIMAVERA;INICIAL;1
VIRGEN DE NATIVIDAD;INICIAL;1
VIRGEN DEL CARMEN;INICIAL;1
VIRGEN INMACULADA CONCEPCION;INICIAL;1
